Style,Standard
Append Mode,1
Fill Mode,1
Capacity,100000
Count,21027
Base Time Seconds,1744929068
Base Time Fractional,.628364260
Index,Reading,Unit,Range Digits,Disp Digits,Math,Start Group,Limit1 High,Limit1 Low,Limit2 High,Limit2 Low,Terminal,Questionable,Origin,Value,Unit,Digits,Output,Sense,Source Limit,Overtemp,Date,Time,Fractional Seconds
97,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001242171274,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.963691920
98,3.055101115024e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.967175260
99,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.970681300
100,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.974171060
101,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.977652120
102,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.981148680
103,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.984631300
104,4.210808401695e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.988112420
105,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.991609840
106,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.995092440
107,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:08,.998574180
108,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.002066860
109,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.005548520
110,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.009035060
111,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.012526860
112,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.016011800
113,1.899451490317e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.019497280
114,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.022989840
115,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.026534820
116,7.437442036462e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0001242152648,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.030054120
117,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.033545000
118,7.43772216083e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.037033960
119,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.040530060
120,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.044015020
121,7.438005923177e-06,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107185988,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.047497380
122,3.055148408748e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,0.0001027817780,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.051001820
123,1.899413655337e-05,Amp DC,1,6.5,F,F,F,F,F,F,Front,F,Main,-0.0000107176747,Volt DC,1,F,2W,F,F,04/17/2025,22:31:09,.054491780
